State,2012,2014,Location
Connecticut,87,85,"Connecticut
(41.544654, -72.651713)"
Maine,84,85,"Maine
(45.252223, -68.986647)"
District of Columbia,92,93,"District of Columbia
(38.892062, -77.019912)"
Florida,87,89,"Florida
(28.915325, -81.922409)"
Minnesota,94,95,"Minnesota
(46.357661, -94.793397)"
Missouri,79,79,"Missouri
(38.636168, -92.566292)"
Oklahoma,84,86,"Oklahoma
(35.468494, -97.521264)"
West Virginia,84,88,"West Virginia
(38.668501, -80.709421)"
Massachusetts,73,77,"Massachusetts
(42.268546, -72.085064)"
Utah,82,83,"Utah
(39.359772, -111.584173)"
North Dakota,81,81,"North Dakota
(47.475879, -100.121011)"
Oregon,97,98,"Oregon
(44.567912, -120.156945)"
Kentucky,84,86,"Kentucky
(37.64591, -84.774043)"
Vermont,84,84,"Vermont
(43.622479, -72.51927)"
Arkansas,72,74,"Arkansas
(34.748745, -92.275105)"
Alaska,88,88,"Alaska
(64.836661, -147.738891)"
Idaho,79,80,"Idaho
(43.680635, -114.364237)"
Iowa,92,93,"Iowa
(42.46942, -93.815856)"
Virginia,78,77,"Virginia
(37.542699, -78.45822)"
New Jersey,88,88,"New Jersey
(40.104655, -74.386686)"
Wyoming,77,79,"Wyoming
(43.23558, -108.110518)"
Hawaii,93,94,"Hawaii
(21.30992, -157.858158)"
Rhode Island,78,87,"Rhode Island
(41.707447, -71.522488)"
Ohio,82,85,"Ohio
(40.056807, -82.405897)"
California,96,97,"California
(37.640735, -121.002435)"
Montana,76,74,"Montana
(47.062617, -109.430168)"
Georgia,92,97,"Georgia
(32.836038, -83.631709)"
New Mexico,91,92,"New Mexico
(34.520396, -106.244402)"
Texas,94,91,"Texas
(31.827233, -99.423022)"
Louisiana,79,84,"Louisiana
(31.2931, -92.463284)"
South Carolina,91,90,"South Carolina
(34.009286, -81.037094)"
Nebraska,79,79,"Nebraska
(41.640503, -99.367122)"
Colorado,81,82,"Colorado
(38.841772, -106.132562)"
South Dakota ,67,69,"South Dakota
(44.35371, -100.373709)"
Wisconsin,80,85,"Wisconsin
(44.395526, -89.834513)"
Alabama,90,96,"Alabama
(32.839182, -86.631125)"
Kansas,80,86,"Kansas
(38.345528, -98.201847)"
New Hampshire,69,70,"New Hampshire
(43.657736, -71.500736)"
Illinois,94,94,"Illinois
(40.477092, -88.993221)"
Maryland,91,92,"Maryland
(39.290443, -76.612333)"
Indiana,94,90,"Indiana
(39.76845, -86.156212)"
Michigan,94,93,"Michigan
(44.66399, -84.711206)"
Mississippi,83,78,"Mississippi
(32.738663, -89.537312)"
Arizona,82,87,"Arizona
(34.869712, -111.760902)"
Washington,97,95,"Washington
(47.517368, -120.467672)"
New York,90,91,"New York
(42.826892, -75.544286)"
Nevada,91,94,"Nevada
(39.491833, -117.070159)"
North Carolina,88,91,"North Carolina
(35.47995, -79.180571)"
Tennessee,84,88,"Tennessee
(35.681402, -85.774444)"
Pennsylvania,84,84,"Pennsylvania
(40.789676, -77.858055)"
Delaware,88,92,"Delaware
(39.008676, -75.574561)"
